12.5.0,555.42.02,555.85
12.4.1,550.54.15,551.78
12.4.0,550.54.14,551.61
12.3.1,545.23.08,546.12
12.3.0,545.23.06,545.84
12.2.2,535.104.05,537.13
12.2.1,535.86.09,536.67
12.2.0,535.54.03,536.25
12.1.1,530.30.02,531.14
12.1.0,530.30.02,531.14
12.0.1,525.85.12,528.33
12.0.0,525.60.13,527.41
11.8.0,520.61.05,520.06
11.7.1,515.48.07,516.31
